1,2
1,3
1,4
1,6
2,1
2,3
2,5
2,6
2,41
3,1
3,2
4,1
4,6
4,50
5,2
5,6
5,7
6,1
6,2
6,4
6,5
7,5
7,8
8,7
8,9
8,10
9,8
9,10
9,11
9,15
9,16
10,8
10,9
10,13
10,14
10,15
11,9
11,12
11,15
12,11
12,16
13,10
13,14
13,29
14,10
14,13
14,15
15,9
15,10
15,11
15,14
16,9
16,12
16,17
17,16
17,18
17,19
18,17
18,22
18,25
19,17
19,20
20,19
20,21
20,26
20,31
20,36
21,20
21,22
21,36
21,42
22,18
22,21
22,23
22,24
23,22
23,24
23,25
24,22
24,23
25,18
25,23
25,41
26,20
26,27
26,30
26,31
26,32
27,26
27,28
27,30
28,27
28,30
29,13
29,30
29,34
29,35
30,26
30,27
30,28
30,29
30,32
30,34
31,20
31,26
31,32
31,33
31,34
31,36
32,26
32,30
32,31
32,33
32,34
33,31
33,32
33,34
34,29
34,30
34,31
34,32
34,33
34,35
34,37
34,40
35,29
35,34
36,20
36,21
36,31
36,38
36,39
36,42
37,34
37,40
37,48
38,36
38,39
38,42
39,36
39,38
40,34
40,37
40,47
41,2
41,25
41,42
41,43
41,44
42,21
42,36
42,38
42,41
42,43
42,46
43,41
43,42
43,44
43,45
44,41
44,43
44,45
44,46
45,43
45,44
46,42
46,44
47,40
47,50
48,37
48,50
49,50
50,4
50,47
50,48
50,49
